bestOfferEnabled,bidCount,buyItNowAvailable,categoryId,categoryName,conditionDisplayName,conditionId,country,endTime,expeditedShipping,gift,itemId,listingType,paymentMethod,postalCode,productId_type,productId_value,returnsAccepted,sellingState,shippingType,startTime,title,topRatedListing,value
False,NA,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-13T15:56:55.000Z,False,False,172152990363,FixedPrice,PayPal,72701,NA,NA,True,EndedWithSales,Free,2016-03-31T20:52:07.000Z,"Apple MacBook Pro 15.4"" Laptop MC723LL/A 2.20GHz Core i7 320GB 16GB OS10.7 Lion",True,699.99
False,2,False,111422,Apple Laptops,Used,3000,US,2016-04-05T20:52:01.000Z,True,False,152036247956,Auction,PayPal,85210,ReferenceID,174477594,False,EndedWithSales,Calculated,2016-03-31T20:52:01.000Z,"Apple MacBook Pro A1502 13.3"" Laptop - ME864LL/A (October, 2013) (Latest Model)",False,746.45
False,4,False,111422,Apple Laptops,Used,3000,US,2016-04-07T20:51:55.000Z,True,False,201552715459,Auction,PayPal,01720,ReferenceID,78119865,False,EndedWithSales,Calculated,2016-03-31T20:51:55.000Z,"15.4"" Apple Macbook Pro A1286 Laptop w/ Core 2 2.53Ghz & 2GB *NO HD / FOR PARTS*",False,167.5
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-06T20:26:39.000Z,True,False,131768036495,FixedPrice,PayPal,07840,NA,NA,True,EndedWithoutSales,Calculated,2016-03-31T20:51:20.000Z,Apple MacBook Pro Mid 2012 - MD101LL/A - Core i5 2.5 GHz - 4 GB-RAM - 128 GB-HDD,False,598.5
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-03-31T21:41:02.000Z,True,False,141945743042,StoreInventory,PayPal,91201,ReferenceID,219486692,False,EndedWithSales,FlatDomesticCalculatedInternational,2016-03-31T20:47:05.000Z,"Apple MacBook Pro A1502 Retina 13"" MGX82LL/A (Mid 2014) Warranty 2017 MS Office",False,875.0
False,NA,False,111422,Apple Laptops,For parts or not working,7000,US,2016-03-31T20:59:05.000Z,False,False,111954242351,FixedPrice,PayPal,95401,NA,NA,False,EndedWithSales,Calculated,2016-03-31T20:46:44.000Z,"Apple MacBook Pro 15.4"" A1286 2.53GHz - 4GB Ram  Bad OS",False,249.99
False,3,False,111422,Apple Laptops,Used,3000,US,2016-04-03T20:45:42.000Z,True,False,152036243113,Auction,PayPal,02368,NA,NA,False,EndedWithSales,Calculated,2016-03-31T20:45:42.000Z,"Macbook Pro    13.3""  500GB Apple Intel Core 2 Duo Yosemite 10.10",False,207.5
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-01T00:51:44.000Z,True,False,222070972778,FixedPrice,PayPal,07302,ReferenceID,99700122,False,EndedWithSales,Calculated,2016-03-31T20:43:59.000Z,"Apple MacBook Pro 15.4"" Laptop - UPGRADED to 1TB SSHD",False,650.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-03T20:43:09.000Z,True,False,141945740303,FixedPrice,PayPal,07840,NA,NA,True,EndedWithoutSales,Calculated,2016-03-31T20:43:09.000Z,"Apple MacBook Pro 15.4"" Mid 2014: i7-4770HQ 2.2GHz - 16GB - 256GB - 10.11 - RET",True,1534.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-04T20:16:56.000Z,False,False,201552711235,StoreInventory,PayPal,75007,NA,NA,True,EndedWithSales,Free,2016-03-31T20:42:59.000Z,"MACBOOK PRO, A1278, MID 2012, 13"", 2.5GHz I5, 4GB, 500GB, OS X 10.8.5 Laptop",True,465.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-02T03:15:26.000Z,False,False,111954239906,StoreInventory,PayPal,13206,ReferenceID,115174685,True,EndedWithSales,Flat,2016-03-31T20:42:54.000Z,"Apple MacBook Pro Intel Core i5 - 13.3"" Display - 8GB Memory MD101LL",True,599.95
False,0,True,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-07T08:21:29.000Z,False,False,272194923448,AuctionWithBIN,PayPal,90710,NA,NA,False,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T20:38:34.000Z,"Apple MacBook Pro A1286 15.4"" MC721LL/A - 1680x1050 Antiglare Custom Build",False,250.0
False,NA,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-07T00:41:58.000Z,False,False,191839296254,FixedPrice,PayPal,72701,NA,NA,True,EndedWithSales,Free,2016-03-31T20:38:07.000Z,Apple MacBook Pro 13.3 Laptop MD313LL/A 2.40GHz Core i5 2435M 500GB 16GB OS 10.7,True,569.99
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-11T20:32:43.000Z,False,False,111954236887,FixedPrice,PayPal,35209,NA,NA,False,EndedWithSales,Calculated,2016-03-31T20:37:28.000Z,"MacBook Pro (13-inch, Mid 2009) Used 2.53 GHz 4 GB RAM 250 GB HD",False,280.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-03-31T21:39:45.000Z,False,False,291725538590,FixedPrice,PayPal,24073,NA,NA,True,EndedWithSales,Calculated,2016-03-31T20:34:20.000Z,"Apple Macbook Pro 15.4"" Core 2 Duo 2.2Ghz 4GB RAM A1226 No HD Battery",True,249.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-01T16:32:26.000Z,False,False,291725538474,FixedPrice,PayPal,24073,NA,NA,True,EndedWithSales,Calculated,2016-03-31T20:34:14.000Z,"Apple Macbook Pro 15.4"" Core 2 Duo 2.4Ghz 2GB RAM A1226 No HD or Battery",True,249.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-03T20:32:59.000Z,False,False,131768017987,StoreInventory,PayPal,60653,NA,NA,False,EndedWithoutSales,Free,2016-03-31T20:32:59.000Z,"Late  2013  Macbook Pro 13"" Retina 2.6 Ghz i5, 8  Gb Ram,256 GB AS IS",False,675.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-10T02:15:07.000Z,False,False,331818838315,StoreInventory,PayPal,30265,NA,NA,True,EndedWithSales,Free,2016-03-31T20:32:36.000Z,"MacBook Pro 15""  Mid 2012, 2.6 GHz i7, 500GB SSD  8 GB RAM El Capitan",False,750.0
False,18,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-03T20:30:25.000Z,True,False,121941733565,Auction,PayPal,54311,NA,NA,False,EndedWithSales,Calculated,2016-03-31T20:30:25.000Z,"Apple MacBook Pro 13"" 2.9 Ghz Core i7 8gb ram 750 hard drive w/ box - Excellent",False,765.0
False,2,False,111422,Apple Laptops,Used,3000,US,2016-04-01T20:30:10.000Z,True,False,262362943838,Auction,PayPal,92886,ReferenceID,99741020,True,EndedWithSales,CalculatedDomesticFlatInternational,2016-03-31T20:30:10.000Z,"Apple MacBook Pro A1278 13.3"" Core i7 Laptop - MC724LL/A w/MS Office",True,505.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-07T20:28:27.000Z,True,False,291725534001,StoreInventory,PayPal,18966,NA,NA,True,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T20:28:27.000Z,"Apple MacBook Pro 15"" 2009-3.06GHz Core 2 Duo-8GB RAM-320GB 7200RPM HD +Warranty",True,569.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-07T20:28:24.000Z,True,False,121941732289,StoreInventory,PayPal,18966,NA,NA,True,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T20:28:24.000Z,"Apple MacBook Pro 13"" Retina -2.6GHz Intel Core i5-8GB RAM-512GB Flash +Warranty",True,979.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-03T00:48:49.000Z,True,False,301915376855,StoreInventory,PayPal,18966,NA,NA,True,EndedWithSales,FlatDomesticCalculatedInternational,2016-03-31T20:28:17.000Z,"2009 Apple MacBook Pro 15"" 2.66GHz Core 2 Duo-8GB-320GB HD-MB985LL/A +Warranty",True,479.0
