itemId,title,productId_type,productId_value,conditionDisplayName,conditionId,categoryId,categoryName,startTime,endTime,postalCode,country,listingType,bidCount,buyItNowAvailable,bestOfferEnabled,topRatedListing,gift,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,value
131787288283,"Apple 2015 MacBook Pro Retina 13"" 3.1GHz I7 512GB SSD 16GB MF843LL/A + AppleCare",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:38:53.000Z,2016-04-20T21:02:40.000Z,45242,US,FixedPrice,NA,False,False,True,False,PayPal,True,Free,True,True,EndedWithSales,1899.0
262396641013,"Apple MacBook Pro A1286  15"" i7 2.2GHz 8GB  500GB HD",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:37:58.000Z,2016-04-20T14:46:16.000Z,48393,US,FixedPrice,NA,False,True,False,False,PayPal,False,Calculated,False,False,EndedWithSales,290.0
262396640106,"MacBook Pro A1278 8Gb RAM, 2TB HD",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:36:56.000Z,2016-04-27T13:36:56.000Z,28740,US,Auction,3.0,False,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,False,EndedWithSales,480.0
272218338228,"Apple MacBook Pro A1502 15.5"" Laptop with Retina Display - MF839LL/A (March, 201",NA,NA,New,1000,111422,Apple Laptops,2016-04-20T13:35:00.000Z,2016-04-22T01:07:23.000Z,44130,US,Auction,0.0,False,False,False,False,PayPal,False,Free,True,False,EndedWithoutSales,2800.0
252362164801,"Apple MacBook Pro A1286  15"" i7 2.2GHz 8GB  500GB HD 10.10 OS",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:34:44.000Z,2016-04-20T16:27:32.000Z,48393,US,FixedPrice,NA,False,True,False,False,PayPal,False,Calculated,False,True,EndedWithSales,400.0
231919355893,"Apple MacBook Pro Core i5 2.7GHz 13"" Retina-8GB RAM-256GB SSD-|MF839LL/A(2015)",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:34:29.000Z,2016-04-28T15:44:36.000Z,40258,US,FixedPrice,NA,False,False,False,False,PayPal,True,Flat,False,True,EndedWithoutSales,1068.99
391437848451,"Apple MacBook Pro Core i7 2.2GHz 15"" Retina-16GB RAM-256GB SSD-|MJLQ2LL/A(2015)",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:34:29.000Z,2016-04-21T18:22:32.000Z,40258,US,FixedPrice,NA,False,False,False,False,PayPal,True,Flat,False,True,EndedWithoutSales,1468.99
282011618654,"Apple 2009 MacBook Pro 13"" 2.53GHz C2D MB991LL/A + B Grade + MLB Issue + As Is",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:28:07.000Z,2016-04-27T13:28:07.000Z,45242,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,183.26
272218332601,"Apple 2012 MacBook Pro 15"" 2.3GHz I7 500GB 4GB MD103LL/A + B Grade + Sold As Is",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:28:06.000Z,2016-04-27T13:28:06.000Z,45242,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,613.69
272218332608,"Apple 2011 MacBook Pro 13"" 2.3GHz I5 250GB 4GB MC700LL/A + Liquid Damage + As Is",ReferenceID,108796569.0,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:28:06.000Z,2016-04-27T13:28:06.000Z,45242,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,342.94
282011618657,"Apple 2011 MacBook Pro Unibody 15"" 2.0GHz I7 500GB 4GB MC721LL/A + Liquid Damage",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:28:06.000Z,2016-04-27T13:28:06.000Z,45242,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,390.95
282011618660,"Apple 2007 MacBook Pro 17"" 2.4GHz C2D 160GB 2GB MA897LL/A + MLB Issues + As Is",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:28:06.000Z,2016-04-27T13:28:06.000Z,45242,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,160.61
152061560685,"Apple MacBook Pro 13"" Retina Intel Core i7 2.8ghz 8gb DDR3 120gb SD Hard Drive",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:20:51.000Z,2016-04-25T13:20:51.000Z,60053,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,799.98
262396618921,"Apple MacBook Pro 15.4"" MB985LL/A, 2.66GHz, Yosemite, 4Gb, 320GB, W/Charger",ReferenceID,78136029.0,Used,3000,111422,Apple Laptops,2016-04-20T13:18:36.000Z,2016-04-27T23:16:20.000Z,44107,US,FixedPrice,NA,False,False,False,False,PayPal,True,Flat,False,False,EndedWithoutSales,399.99
182099898818,7 macbook pro 13 inch for parts only $120.00 each,NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:15:10.000Z,2016-04-20T17:22:46.000Z,07109,US,FixedPrice,NA,False,False,False,False,PayPal,True,Free,True,False,EndedWithSales,120.0
331836347582,"RETINA 15"" APPLE MACBOOK PRO LAPTOP~CORE I7~2.7GHZ~16GB~750SSD~OVER $950 EXTRAS!",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T13:14:12.000Z,2016-04-23T03:46:54.000Z,15215,US,FixedPrice,NA,False,True,False,False,PayPal,True,FlatDomesticCalculatedInternational,False,False,EndedWithSales,1450.0
111974891476,"mid 2009 Apple Macbook PRO 15.4"" A1286 for parts or repair only!! NOT WORKING!",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T13:10:51.000Z,2016-04-27T13:10:51.000Z,V9J1Y3,CA,FixedPrice,NA,False,True,False,False,PayPal,False,Flat,False,False,EndedWithoutSales,300.0
152061546053,"Macbook Pro 13.3"" / 2.9ghz / 8gb ram / 128gb hd",NA,NA,New,1000,111422,Apple Laptops,2016-04-20T13:04:45.000Z,2016-04-30T13:04:45.000Z,94588,US,FixedPrice,NA,False,True,False,False,PayPal,True,Calculated,False,False,EndedWithoutSales,1249.0
262396599052,Apple MacBook Pro 13'' Core i5 * Works but has issue * Please read,ReferenceID,99741550.0,For parts or not working,7000,111422,Apple Laptops,2016-04-20T12:59:17.000Z,2016-04-27T12:59:17.000Z,10470,US,FixedPrice,NA,False,True,False,False,PayPal,True,Flat,False,False,EndedWithoutSales,299.0
