productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,5,4,41,0,0,0,0,1,4,1,0,9,48,100.0,0,0.0,0,0,3
0,83,5,4,41,0,0,0,0,0,3,0,1,5,1103,100.0,0,0.0,0,0,3
0,101,5,4,41,1,0,0,0,1,4,1,0,9,26,100.0,0,900.0,0,0,3
0,87,5,4,41,1,0,1,0,1,0,0,1,7,366,100.0,0,900.0,0,23,2
1,205,4,3,41,0,0,0,0,1,0,0,0,2,6,100.0,0,0.0,0,23,2
1,205,4,3,41,1,0,0,0,1,3,0,1,10,17967,99.6,1,624.99,1,23,2
1,205,1,2,41,1,0,0,0,0,3,0,1,3,732,100.0,0,799.99,0,23,2
1,205,5,4,41,1,0,1,0,1,0,0,1,0,63,100.0,0,750.0,0,23,2
1,205,5,4,41,1,0,1,0,1,4,1,1,7,138,100.0,0,449.99,0,23,2
0,200,0,5,41,0,0,0,0,1,4,1,0,0,91,100.0,0,0.0,0,23,2
1,205,5,4,41,0,0,0,0,1,4,1,0,5,1382,100.0,0,0.0,0,23,2
1,205,0,5,41,0,0,0,0,0,2,0,1,5,1428,100.0,1,0.0,0,23,2
1,205,5,4,41,1,0,0,12,0,4,1,0,1,7415,99.8,1,799.95,0,23,2
0,34,5,4,41,1,0,0,0,0,3,0,1,10,18142,99.9,1,725.0,0,23,2
1,205,5,4,41,0,0,0,0,1,3,0,0,9,12,100.0,0,0.0,0,23,2
1,205,0,5,41,0,0,0,0,1,0,0,0,5,3574,99.4,1,0.0,0,23,2
1,205,5,4,41,0,0,0,0,1,4,1,0,2,0,0.0,0,0.0,0,23,2
0,84,5,4,41,1,0,0,0,1,4,1,0,9,30,96.4,0,799.0,0,23,2
1,205,5,4,41,0,0,0,5,1,3,0,0,0,51,100.0,0,0.0,0,23,2
1,205,5,4,41,1,0,0,0,1,4,1,1,7,358,100.0,0,452.99,0,23,2
