productId_type,productId_value,conditionDisplayName,conditionId,endTime,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,5,4,2016-05-03T22:24:42.000Z,41,0,0,0,0,0,2,0,1,10,11166,100.0,1,0.0,0,22,1
1,205,5,4,2016-05-03T22:24:16.000Z,41,1,0,0,0,0,0,0,0,7,112,100.0,0,1499.0,1,22,1
1,205,5,4,2016-05-03T22:23:59.000Z,41,1,0,0,0,1,4,1,0,7,323,100.0,0,499.99,0,22,1
1,205,5,4,2016-05-03T22:23:39.000Z,41,1,0,1,0,1,0,0,1,2,4,100.0,0,850.75,1,22,1
1,205,5,4,2016-05-03T22:22:15.000Z,41,0,0,0,0,1,4,1,0,7,327,100.0,0,0.0,0,22,1
1,205,0,5,2016-05-03T22:22:03.000Z,41,1,0,0,0,1,3,0,0,5,2837,99.4,1,199.0,0,22,1
1,205,0,5,2016-05-03T22:21:14.000Z,41,1,0,0,0,1,3,0,0,7,409,100.0,0,165.0,0,22,1
0,200,0,5,2016-05-03T22:21:14.000Z,41,1,0,0,0,0,3,0,0,5,2546,99.8,1,189.5,0,22,1
1,205,0,5,2016-05-03T22:21:13.000Z,41,1,0,0,0,1,4,1,1,5,2760,98.9,1,199.99,0,22,1
0,103,2,0,2016-05-03T22:19:16.000Z,41,1,0,1,0,0,4,1,0,7,131,100.0,0,2699.99,1,22,1
1,205,5,4,2016-05-03T22:18:00.000Z,41,1,0,1,0,1,2,0,1,9,31,100.0,0,649.0,1,22,1
1,205,0,5,2016-05-03T22:16:11.000Z,41,0,0,0,0,1,3,0,0,7,369,100.0,0,0.0,0,22,1
0,143,5,4,2016-05-03T22:14:03.000Z,41,1,0,1,0,1,2,0,0,7,275,100.0,0,375.0,1,22,1
1,205,5,4,2016-05-03T22:12:33.000Z,41,1,0,0,0,0,3,0,1,3,740,100.0,0,1289.0,1,22,1
1,205,0,5,2016-05-03T22:11:22.000Z,41,0,0,0,0,1,0,0,0,0,83,100.0,0,0.0,0,22,1
1,205,5,4,2016-05-03T22:11:03.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,0,22,1
1,205,5,4,2016-05-03T22:03:44.000Z,41,1,0,0,0,1,0,0,1,7,345,100.0,0,545.0,0,22,1
1,205,4,3,2016-05-03T22:02:03.000Z,41,1,0,1,0,1,4,1,1,3,514,100.0,1,795.0,0,22,1
1,205,0,5,2016-05-03T22:00:42.000Z,41,0,0,0,0,1,0,0,0,9,19,100.0,0,0.0,0,22,1
1,205,5,4,2016-05-03T22:00:35.000Z,41,1,0,0,0,1,4,1,1,5,2760,98.9,1,399.99,0,22,1
1,205,0,5,2016-05-03T21:58:51.000Z,41,0,1,0,0,0,2,0,0,0,70,100.0,0,0.0,0,21,1
0,98,2,0,2016-05-03T21:57:43.000Z,41,1,0,0,0,0,4,1,1,3,739,99.7,1,1475.0,0,21,1
0,204,5,4,2016-05-03T21:57:18.000Z,41,0,0,0,0,1,3,0,0,9,48,100.0,0,0.0,0,21,1
0,183,0,5,2016-05-03T21:53:55.000Z,41,1,0,0,0,0,3,0,0,7,450,100.0,0,150.0,0,21,1
1,205,5,4,2016-05-03T21:51:45.000Z,41,1,0,0,0,0,2,0,1,5,2013,99.5,1,499.99,1,21,1
0,43,0,5,2016-05-03T21:51:07.000Z,41,0,0,0,0,1,0,0,0,9,27,0.0,0,0.0,0,21,1
1,205,0,5,2016-05-03T21:49:33.000Z,41,1,0,0,0,0,2,0,1,1,5872,100.0,1,79.99,0,21,1
1,205,0,5,2016-05-03T21:47:28.000Z,41,1,0,1,0,0,0,0,0,5,3596,99.8,1,79.99,0,21,1
1,205,0,5,2016-05-03T21:46:52.000Z,41,1,0,0,0,1,2,0,0,5,3760,99.6,0,209.99,1,21,1
0,189,4,3,2016-05-03T21:46:46.000Z,41,0,1,0,0,1,0,0,0,0,71,100.0,0,0.0,0,21,1
1,205,5,4,2016-05-03T21:46:34.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,21,1
1,205,5,4,2016-05-03T21:44:54.000Z,41,0,0,0,0,1,0,0,0,9,18,94.4,0,0.0,0,21,1
1,205,5,4,2016-05-03T21:43:48.000Z,41,1,0,0,0,0,3,0,1,10,18222,99.9,1,925.0,1,21,1
1,205,5,4,2016-05-03T21:43:47.000Z,41,1,0,1,0,1,3,0,0,7,184,100.0,0,500.0,1,21,1
1,205,0,5,2016-05-03T21:43:13.000Z,41,1,0,1,0,0,0,0,0,5,3595,99.8,1,69.99,0,21,1
0,32,5,4,2016-05-03T21:42:14.000Z,41,1,0,0,0,1,3,0,1,7,100,100.0,1,685.0,1,21,1
0,84,1,2,2016-05-03T21:42:06.000Z,41,1,0,0,0,1,4,1,0,7,100,100.0,0,970.0,0,21,1
0,42,5,4,2016-05-03T21:41:03.000Z,41,1,0,1,0,1,4,1,1,9,44,100.0,0,1100.0,0,21,1
0,35,5,4,2016-05-03T21:40:56.000Z,41,1,0,0,0,1,3,0,1,5,2120,100.0,1,1979.95,1,21,1
0,101,5,4,2016-05-03T21:39:31.000Z,41,1,0,0,0,0,3,0,0,7,351,100.0,0,870.0,0,21,1
1,205,0,5,2016-05-03T21:37:30.000Z,41,1,0,1,0,0,0,0,1,3,966,100.0,0,499.0,1,21,1
0,13,0,5,2016-05-03T21:35:15.000Z,41,0,0,0,0,0,2,0,0,9,38,100.0,0,0.0,0,21,1
0,43,5,4,2016-05-03T21:29:56.000Z,41,1,0,1,0,1,3,0,1,7,250,100.0,0,679.0,1,21,1
1,205,5,4,2016-05-03T21:29:21.000Z,41,1,0,0,0,0,3,0,0,0,51,100.0,0,685.0,1,21,1
0,35,0,5,2016-05-03T21:29:01.000Z,41,1,0,0,0,0,3,0,0,7,351,100.0,0,599.95,0,21,1
0,40,0,5,2016-05-03T21:27:47.000Z,41,0,1,0,0,1,0,0,0,7,160,100.0,0,0.0,0,21,1
0,85,5,4,2016-05-03T21:27:23.000Z,41,1,0,0,0,1,0,0,1,9,33,100.0,0,1449.99,1,21,1
0,43,3,1,2016-05-03T21:27:18.000Z,41,1,0,0,0,1,0,0,0,2,3,100.0,0,999.0,1,21,1
0,165,5,4,2016-05-03T21:26:40.000Z,41,0,0,0,0,0,2,0,0,2,0,0.0,0,0.0,0,21,1
1,205,5,4,2016-05-03T21:23:33.000Z,41,1,0,1,0,1,0,0,0,2,1,100.0,0,749.99,1,21,1
1,205,5,4,2016-05-03T21:23:29.000Z,41,1,0,0,0,1,2,0,0,7,192,100.0,0,500.0,1,21,1
1,205,5,4,2016-05-03T21:23:04.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,21,1
0,24,5,4,2016-05-03T21:17:21.000Z,41,0,0,0,0,1,3,0,0,7,369,100.0,0,0.0,0,21,1
1,205,5,4,2016-05-03T21:17:16.000Z,41,1,0,1,0,0,0,0,0,7,128,100.0,0,430.0,0,21,1
0,195,5,4,2016-05-03T21:12:31.000Z,41,0,0,0,0,1,2,0,1,6,241810,99.9,1,0.0,0,21,1
0,33,5,4,2016-05-03T21:12:19.000Z,41,0,0,0,0,1,3,0,0,9,17,100.0,0,0.0,0,21,1
0,203,5,4,2016-05-03T21:12:13.000Z,41,0,0,0,0,1,2,0,1,6,241810,99.9,1,0.0,0,21,1
1,205,5,4,2016-05-03T21:12:05.000Z,41,0,0,0,0,1,2,0,1,6,241810,99.9,1,0.0,0,21,1
1,205,5,4,2016-05-03T21:11:40.000Z,41,1,0,0,0,1,4,1,1,5,1940,100.0,1,797.0,0,21,1
1,205,5,4,2016-05-03T21:10:52.000Z,41,1,0,1,0,1,3,0,1,7,165,100.0,0,719.99,0,21,1
