productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,endHour,endWeekday
1,157,0,5,20,1,0,0,0,0,3,0,1,0,18,4
0,36,0,5,20,0,1,0,0,0,3,0,0,1,18,4
1,157,3,1,20,1,0,1,0,1,0,0,0,1,16,4
1,157,5,4,20,0,1,0,0,1,2,0,0,1,19,4
0,82,2,0,20,1,0,0,0,1,3,0,1,0,21,4
1,157,5,4,20,1,0,0,0,0,0,0,0,0,18,4
1,157,0,5,20,1,0,1,0,1,4,1,0,0,17,4
1,157,5,4,20,1,0,1,4,1,0,0,1,0,17,4
0,41,0,5,20,0,0,0,0,0,3,0,0,0,16,4
1,157,2,0,20,1,0,1,0,1,4,1,0,0,22,4
0,19,0,5,20,1,0,1,0,0,2,0,0,0,17,4
0,120,4,3,20,1,0,1,0,1,0,0,0,0,16,4
1,157,5,4,20,1,0,1,0,1,2,0,0,1,20,4
0,100,5,4,20,1,0,1,0,1,0,0,0,0,15,4
0,45,5,4,20,1,0,1,0,0,3,0,0,1,22,4
0,80,5,4,20,1,0,1,0,0,3,0,0,0,23,5
1,157,5,4,20,1,0,1,0,0,4,1,1,0,1,6
1,157,3,1,20,1,0,0,0,1,2,0,0,0,17,4
1,157,2,0,20,1,0,1,0,1,0,0,0,0,15,4
0,31,5,4,20,1,0,1,0,0,4,1,1,1,15,4
0,19,0,5,20,0,0,0,0,0,2,0,0,1,15,4
0,36,5,4,20,1,0,1,0,0,4,1,0,1,17,4
1,157,5,4,20,0,1,0,0,1,0,0,0,1,15,5
0,152,5,4,20,1,0,1,0,1,2,0,0,1,21,4
0,135,0,5,20,0,0,0,0,1,2,0,0,1,17,5
1,157,2,0,20,1,0,1,0,0,4,1,0,0,2,5
1,157,1,2,20,1,0,0,0,0,3,0,1,0,20,4
1,157,5,4,20,1,0,0,0,1,0,0,1,0,21,4
0,148,0,5,20,1,0,0,0,1,0,0,0,0,15,4
1,157,0,5,20,1,0,0,0,1,0,0,0,0,21,5
0,54,5,4,20,1,0,0,0,1,3,0,0,1,20,5
1,157,5,4,20,1,0,0,0,1,0,0,0,1,17,4
0,140,0,5,20,1,0,1,0,1,4,1,0,0,14,4
0,8,5,4,20,1,0,1,0,1,0,0,0,0,14,4
1,157,5,4,20,1,0,0,0,0,4,1,1,0,21,4
1,157,5,4,20,1,0,1,0,1,4,1,0,1,7,5
0,88,2,0,20,0,0,0,0,1,3,0,0,0,3,6
0,148,5,4,20,1,0,1,0,1,3,0,1,0,21,4
1,157,5,4,20,1,0,1,0,0,2,0,0,0,17,4
0,80,5,4,20,1,0,0,0,0,3,0,1,0,13,4
1,157,5,4,20,0,1,0,0,1,2,0,0,1,2,4
1,157,4,3,20,1,0,0,0,1,4,1,0,0,12,4
1,157,5,4,20,1,0,0,0,0,2,0,0,0,23,5
1,157,5,4,20,0,0,0,0,1,0,0,0,1,18,4
0,78,2,0,20,1,0,0,0,0,0,0,0,0,22,4
0,71,3,1,20,1,0,1,0,1,2,0,0,1,4,4
1,157,5,4,20,1,0,0,0,1,4,1,0,0,18,4
0,71,3,1,20,1,0,1,0,1,2,0,0,1,22,3
0,78,2,0,20,1,0,1,0,1,0,0,0,0,12,4
1,157,5,4,20,1,0,1,0,0,4,1,0,1,21,3
1,157,5,4,20,1,0,0,0,1,4,1,0,0,20,4
0,139,5,4,20,1,0,0,0,1,0,0,0,1,22,4
0,78,2,0,20,1,0,1,0,1,0,0,0,1,23,3
0,88,3,1,20,1,0,1,0,1,0,0,0,0,22,4
0,120,5,4,20,1,0,1,0,0,2,0,0,1,6,4
0,14,5,4,20,1,0,0,0,1,4,1,0,1,9,4
0,25,5,4,20,0,0,0,0,1,0,0,0,0,5,4
1,157,5,4,20,0,0,0,4,0,5,0,1,1,4,4
1,157,5,4,20,1,0,1,0,0,0,0,1,0,5,4
0,78,2,0,20,1,0,0,0,1,4,1,1,1,17,4
1,157,5,4,20,1,0,1,0,0,0,0,1,0,5,4
1,157,5,4,20,1,0,1,0,0,0,0,1,0,5,4
0,37,5,4,20,0,0,0,0,0,4,1,1,1,4,5
0,67,5,4,20,0,0,0,0,1,4,1,1,1,4,5
1,157,5,4,20,1,0,1,0,0,0,0,1,0,5,4
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
0,152,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
1,157,5,4,20,0,0,0,0,0,4,1,1,1,4,5
